FY14,JOIN14,COUNTY14,CODISTSCH14,SCHOOLNAME14,SCHOOLTYPE14,GRADE14,ENROLLED14,FREEREDUCED14,PERCENT14,WARNING14,CEP14
2014-2015,CHASE-WAUNETA PALISADE MIDDLE SCHOOL,CHASE,150536004,WAUNETA PALISADE MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-05-08,57,26,0.4561,,
2014-2015,CHERRY-VALENTINE HIGH SCHOOL,CHERRY,160006001,VALENTINE HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,204,90,0.4412,,
2014-2015,CHERRY-VALENTINE ELEMENTARY SCHOOL,CHERRY,160006002,VALENTINE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,269,131,0.487,,
2014-2015,CHERRY-VALENTINE MIDDLE SCHOOL,CHERRY,160006003,VALENTINE MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,138,59,0.4275,,
2014-2015,CHERRY-KENNEDY SCHOOL,CHERRY,160006006,KENNEDY SCHOOL,ELEMENTARY                    ,K -08,5,,,MASKED DATA,
2014-2015,CHERRY-WOOD LAKE SCHOOL,CHERRY,160006007,WOOD LAKE SCHOOL,ELEMENTARY                    ,PK-08,4,,,MASKED DATA,
2014-2015,CHERRY-GOOSE CREEK SCHOOL,CHERRY,160006014,GOOSE CREEK SCHOOL,ELEMENTARY                    ,K -08,12,,,MASKED DATA,
2014-2015,CHERRY-CUTCOMB LAKE SCHOOL,CHERRY,160006020,CUTCOMB LAKE SCHOOL,ELEMENTARY                    ,K -08,8,,,MASKED DATA,
2014-2015,CHERRY-CODY-KILGORE HIGH SCHOOL,CHERRY,160030001,CODY-KILGORE HIGH SCHOOL,SECONDARY                     ,2016-09-12,60,32,0.5333,,
2014-2015,CHERRY-CODY-KILGORE ELEMENTARY SCHOOL,CHERRY,160030002,CODY-KILGORE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,61,45,0.7377,,
2014-2015,CHERRY-CODY-KILGORE MIDDLE SCHOOL,CHERRY,160030003,CODY-KILGORE MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,28,17,0.6071,,
2014-2015,CHERRY-ZION LUTHERAN ELEMENTARY SCH,CHERRY,160701001,ZION LUTHERAN ELEMENTARY SCH,ELEMENTARY                    ,K -08,17,,,MASKED DATA,
2014-2015,CHEYENNE-SIDNEY HIGH SCHOOL,CHEYENNE,170001001,SIDNEY HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,355,110,0.3099,,
2014-2015,CHEYENNE-SIDNEY MIDDLE SCHOOL,CHEYENNE,170001002,SIDNEY MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-07-08,199,62,0.3116,,
2014-2015,CHEYENNE-CENTRAL ELEMENTARY SCHOOL,CHEYENNE,170001003,CENTRAL ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-K ,182,,,MASKED DATA,
2014-2015,CHEYENNE-NORTH WARD ELEMENTARY SCHOOL,CHEYENNE,170001004,NORTH WARD ELEMENTARY SCHOOL,ELEMENTARY                    ,2016-03-04,198,75,0.3788,,
2014-2015,CHEYENNE-SOUTH WARD ELEMENTARY SCHOOL,CHEYENNE,170001005,SOUTH WARD ELEMENTARY SCHOOL,ELEMENTARY                    ,2016-01-02,217,80,0.3687,,
2014-2015,CHEYENNE-WEST ELEMENTARY SCHOOL,CHEYENNE,170001006,WEST ELEMENTARY SCHOOL,ELEMENTARY                    ,2016-05-06,206,80,0.3883,,
2014-2015,CHEYENNE-LEYTON HIGH SCHOOL,CHEYENNE,170003001,LEYTON HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,68,21,0.3088,,
2014-2015,CHEYENNE-LEYTON ELEMENTARY/JUNIOR HIGH SCHOOL,CHEYENNE,170003003,LEYTON ELEMENTARY/JUNIOR HIGH SCHOOL,ELEMENTARY                    ,K -08,145,60,0.4138,,
2014-2015,CHEYENNE-POTTER-DIX JR/SR HIGH SCHOOL,CHEYENNE,170009001,POTTER-DIX JR/SR HIGH SCHOOL,SECONDARY                     ,2016-07-12,89,37,0.4157,,
2014-2015,CHEYENNE-POTTER-DIX ELEMENTARY SCHOOL,CHEYENNE,170009003,POTTER-DIX ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,87,40,0.4598,,
2014-2015,CLAY-SUTTON SECONDARY SCHOOL,CLAY,180002001,SUTTON SECONDARY SCHOOL,SECONDARY                     ,2016-07-12,189,51,0.2698,,
2014-2015,CLAY-SUTTON ELEMENTARY SCHOOL,CLAY,180002002,SUTTON ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,209,55,0.2632,,
2014-2015,CLAY-HARVARD HIGH SCHOOL,CLAY,180011001,HARVARD HIGH SCHOOL,SECONDARY                     ,2016-07-12,164,105,0.6402,,
2014-2015,CLAY-HARVARD ELEMENTARY SCHOOL,CLAY,180011002,HARVARD ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,158,114,0.7215,,
2014-2015,CLAY-SUTTON CHRISTIAN SCHOOL,CLAY,180701001,SUTTON CHRISTIAN SCHOOL,ELEMENTARY                    ,K -08,18,,,MASKED DATA,
2014-2015,COLFAX-LEIGH HIGH SCHOOL,COLFAX,190039001,LEIGH HIGH SCHOOL,SECONDARY                     ,2016-07-12,71,23,0.3239,,
2014-2015,COLFAX-LEIGH ELEMENTARY SCHOOL,COLFAX,190039002,LEIGH ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,112,42,0.375,,
2014-2015,COLFAX-CLARKSON JR-SR HIGH SCHOOL,COLFAX,190058001,CLARKSON JR-SR HIGH SCHOOL,SECONDARY                     ,2016-07-12,87,18,0.2069,,
2014-2015,COLFAX-CLARKSON ELEMENTARY SCHOOL,COLFAX,190058002,CLARKSON ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,105,27,0.2571,,
2014-2015,COLFAX-HOWELLS SENIOR HIGH SCHOOL,COLFAX,190070001,HOWELLS SENIOR HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,93,23,0.2473,,
2014-2015,COLFAX-HOWELLS-DODGE ELEMENTARY SCHOOL/HOWELLS,COLFAX,190070002,HOWELLS-DODGE ELEMENTARY SCHOOL/HOWELLS,ELEMENTARY                    ,PK-01,53,10,0.1887,,
2014-2015,COLFAX-HOWELLS-DODGE ELEMENTARY SCHOOL/DODGE,COLFAX,190070003,HOWELLS-DODGE ELEMENTARY SCHOOL/DODGE,ELEMENTARY                    ,2016-02-08,103,40,0.3883,,
2014-2015,COLFAX-SCHUYLER CENTRAL HIGH SCHOOL,COLFAX,190123001,SCHUYLER CENTRAL HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,475,368,0.7747,,
2014-2015,COLFAX-RICHLAND ELEMENTARY SCHOOL,COLFAX,190123002,RICHLAND ELEMENTARY SCHOOL,ELEMENTARY                    ,K -08,38,13,0.3421,,
2014-2015,COLFAX-SCHUYLER ELEMENTARY SCHOOL,COLFAX,190123003,SCHUYLER ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,827,712,0.8609,,
2014-2015,COLFAX-SCHUYLER ELEMENTARY-FISHER'S,COLFAX,190123005,SCHUYLER ELEMENTARY-FISHER'S,ELEMENTARY                    ,K -08,67,15,0.2239,,
2014-2015,COLFAX-SCHUYLER MIDDLE SCHOOL,COLFAX,190123008,SCHUYLER MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,355,301,0.8479,,
2014-2015,COLFAX-NORTH WARD PREKINDERGARTEN,COLFAX,190123009,NORTH WARD PREKINDERGARTEN,PREK ONLY                     ,PK-PK,85,46,0.5412,,
2014-2015,COLFAX-SCHUYLER HEADSTART,COLFAX,190123010,SCHUYLER HEADSTART,PREK ONLY                     ,PK-PK,114,47,0.4123,,
2014-2015,COLFAX-ST JOHN NEUMANN ELEMENTARY SCH,COLFAX,190703001,ST JOHN NEUMANN ELEMENTARY SCH,ELEMENTARY                    ,2016-01-06,23,,,MASKED DATA,
2014-2015,COLFAX-HOWELLS COMMUNITY CATHOLIC SCH,COLFAX,190704001,HOWELLS COMMUNITY CATHOLIC SCH,ELEMENTARY                    ,2016-01-06,51,,,MASKED DATA,
2014-2015,CUMING-WEST POINT-BEEMER HIGH SCHOOL,CUMING,200001001,WEST POINT-BEEMER HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,261,134,0.5134,,
2014-2015,CUMING-WEST POINT ELEMENTARY SCHOOL,CUMING,200001002,WEST POINT ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-04,275,162,0.5891,,
2014-2015,CUMING-BEEMER ELEMENTARY SCHOOL,CUMING,200001003,BEEMER ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-04,48,17,0.3542,,
2014-2015,CUMING-WEST POINT - BEEMER MIDDLE SCHOOL,CUMING,200001004,WEST POINT - BEEMER MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-05-08,242,149,0.6157,,
2014-2015,CUMING-BANCROFT-ROSALIE JR/SR HIGH SCHOOL,CUMING,200020001,BANCROFT-ROSALIE JR/SR HIGH SCHOOL,SECONDARY                     ,2016-07-12,109,49,0.4495,,
2014-2015,CUMING-BANCROFT-ROSALIE ELEMENTARY SCHOOL,CUMING,200020006,BANCROFT-ROSALIE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,162,65,0.4012,,
2014-2015,CUMING-WISNER-PILGER HIGH SCHOOL,CUMING,200030001,WISNER-PILGER HIGH SCHOOL,SECONDARY                     ,2016-07-12,218,101,0.4633,,
2014-2015,CUMING-WISNER-PILGER ELEM SCHOOL,CUMING,200030002,WISNER-PILGER ELEM SCHOOL,ELEMENTARY                    ,PK-04,204,93,0.4559,,
2014-2015,CUMING-WISNER-PILGER MIDDLE SCHOOL,CUMING,200030003,WISNER-PILGER MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-05-06,66,28,0.4242,,
2014-2015,CUMING-ST PAUL LUTHERAN ELEM SCHOOL,CUMING,200703001,ST PAUL LUTHERAN ELEM SCHOOL,ELEMENTARY                    ,PK-08,119,27,0.2269,,
2014-2015,CUMING-ZION ST JOHN LUTHERAN SCHOOL,CUMING,200706001,ZION ST JOHN LUTHERAN SCHOOL,ELEMENTARY                    ,PK-08,6,,,MASKED DATA,
2014-2015,CUMING-WEST POINT CENTRAL CATHOLIC HIGH SCHOOL,CUMING,200710001,WEST POINT CENTRAL CATHOLIC HIGH SCHOOL,SECONDARY                     ,2016-07-12,163,16,0.0982,,
2014-2015,CUMING-GUARDIAN ANGELS ELEMENTARY SCHOOL,CUMING,200710002,GUARDIAN ANGELS ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,190,12,0.0632,,
2014-2015,CUSTER-ANSELMO-MERNA HIGH SCHOOL,CUSTER,210015001,ANSELMO-MERNA HIGH SCHOOL,SECONDARY                     ,2016-07-12,97,33,0.3402,,
2014-2015,CUSTER-ANSELMO-MERNA ELEMENTARY-MERNA,CUSTER,210015002,ANSELMO-MERNA ELEMENTARY-MERNA,ELEMENTARY                    ,PK-06,161,49,0.3043,,
2014-2015,CUSTER-BROKEN BOW HIGH SCHOOL,CUSTER,210025001,BROKEN BOW HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,233,92,0.3948,,
2014-2015,CUSTER-CUSTER INTERMEDIATE SCHOOL,CUSTER,210025003,CUSTER INTERMEDIATE SCHOOL,ELEMENTARY                    ,2016-05-06,141,67,0.4752,,
2014-2015,CUSTER-NORTH PARK ELEMENTARY SCHOOL,CUSTER,210025004,NORTH PARK ELEMENTARY SCHOOL,ELEMENTARY                    ,K -04,298,144,0.4832,,
2014-2015,CUSTER-SANDHILLS EDUC SERVICES COOP,CUSTER,210025005,SANDHILLS EDUC SERVICES COOP,PREK ONLY                     ,PK-PK,28,,,MASKED DATA,
2014-2015,CUSTER-BROKEN BOW JUNIOR HIGH SCHOOL,CUSTER,210025006,BROKEN BOW JUNIOR HIGH SCHOOL,MIDDLE SCHOOL                 ,2016-07-08,93,36,0.3871,,
2014-2015,CUSTER-NEW DISCOVERIES NORTH PRESCHOOL,CUSTER,210025009,NEW DISCOVERIES NORTH PRESCHOOL,PREK ONLY                     ,PK-PK,21,,,MASKED DATA,
2014-2015,CUSTER-NEW DISCOVERIES PRESCHOOL,CUSTER,210025010,NEW DISCOVERIES PRESCHOOL,PREK ONLY                     ,PK-PK,19,,,MASKED DATA,
2014-2015,CUSTER-ANSLEY HIGH SCHOOL,CUSTER,210044001,ANSLEY HIGH SCHOOL,SECONDARY                     ,2016-07-12,70,23,0.3286,,
2014-2015,CUSTER-ANSLEY ELEMENTARY SCHOOL,CUSTER,210044002,ANSLEY ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,90,40,0.4444,,
2014-2015,CUSTER-SARGENT HIGH SCHOOL,CUSTER,210084001,SARGENT HIGH SCHOOL,SECONDARY                     ,2016-07-12,77,27,0.3506,,
2014-2015,CUSTER-SARGENT ELEMENTARY SCHOOL,CUSTER,210084002,SARGENT ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,103,52,0.5049,,
2014-2015,CUSTER-ARNOLD HIGH SCHOOL,CUSTER,210089001,ARNOLD HIGH SCHOOL,SECONDARY                     ,2016-07-12,49,13,0.2653,,
2014-2015,CUSTER-ARNOLD ELEMENTARY SCHOOL,CUSTER,210089002,ARNOLD ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,87,28,0.3218,,
2014-2015,CUSTER-CALLAWAY HIGH SCHOOL,CUSTER,210180001,CALLAWAY HIGH SCHOOL,SECONDARY                     ,2016-07-12,91,27,0.2967,,
2014-2015,CUSTER-CALLAWAY ELEMENTARY SCHOOL,CUSTER,210180002,CALLAWAY ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,106,48,0.4528,,
2014-2015,DAKOTA-SOUTH SIOUX SENIOR HIGH SCHOOL,DAKOTA,220011001,SOUTH SIOUX SENIOR HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,1202,681,0.5666,,
2014-2015,DAKOTA-SOUTH SIOUX CITY MIDDLE SCHOOL,DAKOTA,220011003,SOUTH SIOUX CITY MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,826,569,0.6889,,
2014-2015,DAKOTA-E N SWETT ELEMENTARY SCHOOL,DAKOTA,220011004,E N SWETT ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-K ,266,160,0.6015,,
2014-2015,DAKOTA-HARNEY ELEMENTARY SCHOOL,DAKOTA,220011005,HARNEY ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,363,286,0.7879,,
2014-2015,DAKOTA-LEWIS & CLARK ELEMENTARY SCH,DAKOTA,220011006,LEWIS & CLARK ELEMENTARY SCH,ELEMENTARY                    ,K -05,243,199,0.8189,,
2014-2015,DAKOTA-DAKOTA CITY ELEMENTARY SCHOOL,DAKOTA,220011007,DAKOTA CITY ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,201,141,0.7015,,
2014-2015,DAKOTA-CARDINAL ELEMENTARY SCHOOL,DAKOTA,220011008,CARDINAL ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,427,259,0.6066,,
2014-2015,DAKOTA-COVINGTON ELEMENTARY SCHOOL,DAKOTA,220011011,COVINGTON ELEMENTARY SCHOOL,ELEMENTARY                    ,2016-01-05,397,306,0.7708,,
2014-2015,DAKOTA-HOMER HIGH SCHOOL,DAKOTA,220031001,HOMER HIGH SCHOOL,SECONDARY                     ,2016-07-12,191,48,0.2513,,
2014-2015,DAKOTA-HOMER ELEMENTARY SCHOOL,DAKOTA,220031002,HOMER ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,230,93,0.4043,,
2014-2015,DAKOTA-ST MICHAEL ELEMENTARY SCHOOL,DAKOTA,220701001,ST MICHAEL ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-08,161,121,0.7516,,
2014-2015,DAWES-CHADRON SENIOR HIGH SCHOOL,DAWES,230002001,CHADRON SENIOR HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,239,88,0.3682,,
2014-2015,DAWES-CHADRON PRIMARY,DAWES,230002002,CHADRON PRIMARY,ELEMENTARY                    ,PK-02,216,83,0.3843,,
2014-2015,DAWES-CHADRON MIDDLE SCHOOL,DAWES,230002003,CHADRON MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-05-08,267,112,0.4195,,
2014-2015,DAWES-CHADRON INTERMEDIATE,DAWES,230002004,CHADRON INTERMEDIATE,ELEMENTARY                    ,2016-03-04,145,54,0.3724,,
2014-2015,DAWES-CRAWFORD HIGH SCHOOL,DAWES,230071001,CRAWFORD HIGH SCHOOL,SECONDARY                     ,2016-07-12,107,49,0.4579,,
2014-2015,DAWES-CRAWFORD ELEMENTARY SCHOOL,DAWES,230071002,CRAWFORD ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,124,78,0.629,,
2014-2015,DAWES-PINE RIDGE JOB CORPS,DAWES,230601001,PINE RIDGE JOB CORPS,HIGH SCHOOL                   ,2016-10-12,104,,,MASKED DATA,
2014-2015,DAWES-PRAIRIE VIEW S D A SCHOOL,DAWES,230701001,PRAIRIE VIEW S D A SCHOOL,ELEMENTARY                    ,2016-01-08,16,,,MASKED DATA,
2014-2015,DAWES-TRUNK BUTTE CHRISTIAN SCHOOL,DAWES,230704001,TRUNK BUTTE CHRISTIAN SCHOOL,ELEMENTARY                    ,PK-08,6,,,MASKED DATA,
2014-2015,DAWSON-LEXINGTON HIGH SCHOOL,DAWSON,240001001,LEXINGTON HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,827,572,0.6917,,
2014-2015,DAWSON-LEXINGTON MIDDLE SCHOOL,DAWSON,240001002,LEXINGTON MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,620,487,0.7855,,
2014-2015,DAWSON-BRYAN ELEMENTARY SCHOOL,DAWSON,240001003,BRYAN ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,344,193,0.561,,
2014-2015,DAWSON-MORTON ELEMENTARY SCHOOL,DAWSON,240001004,MORTON ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,347,313,0.902,,
2014-2015,DAWSON-PERSHING ELEMENTARY SCHOOL,DAWSON,240001005,PERSHING ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,296,233,0.7872,,
2014-2015,DAWSON-SANDOZ ELEMENTARY SCHOOL,DAWSON,240001006,SANDOZ ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,283,231,0.8163,,
2014-2015,DAWSON-EARLY LEARNING ACADEMY,DAWSON,240001009,EARLY LEARNING ACADEMY,PREK ONLY                     ,PK-PK,278,179,0.6439,,
2014-2015,DAWSON-OVERTON HIGH SCHOOL,DAWSON,240004001,OVERTON HIGH SCHOOL,SECONDARY                     ,2016-07-12,142,69,0.4859,,
2014-2015,DAWSON-OVERTON ELEMENTARY SCHOOL,DAWSON,240004002,OVERTON ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,186,103,0.5538,,
2014-2015,DAWSON-COZAD HIGH SCHOOL,DAWSON,240011001,COZAD HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,276,118,0.4275,,
2014-2015,DAWSON-COZAD MIDDLE SCHOOL,DAWSON,240011002,COZAD MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,225,108,0.48,,
2014-2015,DAWSON-COZAD ELEMENTARY SCHOOL,DAWSON,240011004,COZAD ELEMENTARY SCHOOL,ELEMENTARY                    ,2016-01-05,344,192,0.5581,,
2014-2015,DAWSON-COZAD EARLY EDUCATION CENTER,DAWSON,240011005,COZAD EARLY EDUCATION CENTER,ELEMENTARY                    ,PK-K ,113,53,0.469,,
2014-2015,DAWSON-GOTHENBURG SECONDARY SCHOOL,DAWSON,240020001,GOTHENBURG SECONDARY SCHOOL,SECONDARY                     ,2016-07-12,442,119,0.2692,,
2014-2015,DAWSON-GOTHENBURG ELEMENTARY SCHOOL,DAWSON,240020002,GOTHENBURG ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,494,141,0.2854,,
2014-2015,DAWSON-JUNIOR-SENIOR HIGH AT SUMNER,DAWSON,240101001,JUNIOR-SENIOR HIGH AT SUMNER,SECONDARY                     ,2016-07-12,91,55,0.6044,,
2014-2015,DAWSON-ELEMENTARY SCHOOL AT SUMNER,DAWSON,240101002,ELEMENTARY SCHOOL AT SUMNER,ELEMENTARY                    ,PK-06,113,63,0.5575,,
2014-2015,DEUEL-CREEK VALLEY HIGH SCHOOL,DEUEL,250025001,CREEK VALLEY HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,74,32,0.4324,,
2014-2015,DEUEL-CREEK VALLEY MIDDLE SCHOOL,DEUEL,250025002,CREEK VALLEY MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-05-08,75,27,0.36,,
2014-2015,DEUEL-CREEK VALLEY ELEMENTARY SCHOOL,DEUEL,250025003,CREEK VALLEY ELEMENTARY SCHOOL,ELEMENTARY                    ,K -04,84,39,0.4643,,
2014-2015,DEUEL-SOUTH PLATTE HIGH SCHOOL,DEUEL,250095001,SOUTH PLATTE HIGH SCHOOL,SECONDARY                     ,2016-07-12,77,42,0.5455,,
2014-2015,DEUEL-SO PLATTE ELEM AT BIG SPRINGS,DEUEL,250095002,SO PLATTE ELEM AT BIG SPRINGS,ELEMENTARY                    ,PK-06,90,48,0.5333,,
2014-2015,DIXON-PONCA HIGH SCHOOL,DIXON,260001001,PONCA HIGH SCHOOL,SECONDARY                     ,2016-07-12,212,51,0.2406,,
2014-2015,DIXON-PONCA ELEMENTARY SCHOOL,DIXON,260001002,PONCA ELEMENTARY SCHOOL,ELEMENTARY                    ,2016-03-06,128,43,0.3359,,
2014-2015,DIXON-JACKSON ELEMENTARY,DIXON,260001003,JACKSON ELEMENTARY,ELEMENTARY                    ,PK-02,127,43,0.3386,,
2014-2015,DIXON-ALLEN HIGH SCHOOL,DIXON,260070001,ALLEN HIGH SCHOOL,SECONDARY                     ,2016-07-12,113,45,0.3982,,
2014-2015,DIXON-ALLEN ELEMENTARY SCHOOL,DIXON,260070002,ALLEN ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,99,43,0.4343,,
2014-2015,DIXON-EMERSON-HUBBARD HIGH SCHOOL,DIXON,260561001,EMERSON-HUBBARD HIGH SCHOOL,SECONDARY                     ,2016-07-12,112,37,0.3304,,
2014-2015,DIXON-EMERSON-HUBBARD ELEMENTARY SCH,DIXON,260561002,EMERSON-HUBBARD ELEMENTARY SCH,ELEMENTARY                    ,PK-06,151,72,0.4768,,
2014-2015,DODGE-FREMONT SENIOR HIGH SCHOOL,DODGE,270001001,FREMONT SENIOR HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,1381,747,0.5409,,
2014-2015,DODGE-FREMONT MIDDLE SCHOOL,DODGE,270001002,FREMONT MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-07-08,687,408,0.5939,,
2014-2015,DODGE-GRANT ELEMENTARY SCHOOL,DODGE,270001005,GRANT ELEMENTARY SCHOOL,ELEMENTARY                    ,K -04,167,116,0.6946,,
2014-2015,DODGE-LINDEN ELEMENTARY SCHOOL,DODGE,270001007,LINDEN ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-04,347,276,0.7954,,
2014-2015,DODGE-WASHINGTON ELEMENTARY SCHOOL,DODGE,270001009,WASHINGTON ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-04,232,223,0.9612,,
2014-2015,DODGE-CLARMAR ELEMENTARY SCHOOL,DODGE,270001010,CLARMAR ELEMENTARY SCHOOL,ELEMENTARY                    ,K -04,248,127,0.5121,,
2014-2015,DODGE-HOWARD ELEMENTARY SCHOOL,DODGE,270001011,HOWARD ELEMENTARY SCHOOL,ELEMENTARY                    ,K -04,272,124,0.4559,,
2014-2015,DODGE-DAVENPORT SCHOOL,DODGE,270001012,DAVENPORT SCHOOL,PREK ONLY                     ,PK-PK,156,66,0.4231,,
2014-2015,DODGE-MILLIKEN PARK ELEMENTARY SCH,DODGE,270001015,MILLIKEN PARK ELEMENTARY SCH,ELEMENTARY                    ,PK-04,235,147,0.6255,,
2014-2015,DODGE-BELL FIELD ELEMENTARY SCHOOL,DODGE,270001016,BELL FIELD ELEMENTARY SCHOOL,ELEMENTARY                    ,K -04,340,217,0.6382,,
2014-2015,DODGE-JOHNSON CROSSING ACADEMIC CENTER (5-6),DODGE,270001019,JOHNSON CROSSING ACADEMIC CENTER (5-6),ELEMENTARY                    ,2016-05-06,689,423,0.6139,,
2014-2015,DODGE-SCRIBNER-SNYDER SECONDARY SCH,DODGE,270062001,SCRIBNER-SNYDER SECONDARY SCH,SECONDARY                     ,2016-07-12,105,54,0.5143,,
2014-2015,DODGE-ELEMENTARY SCHOOL AT SCRIBNER,DODGE,270062002,ELEMENTARY SCHOOL AT SCRIBNER,ELEMENTARY                    ,PK-06,99,51,0.5152,,
2014-2015,DODGE-LOGAN VIEW JR/SR HIGH SCHOOL,DODGE,270594001,LOGAN VIEW JR/SR HIGH SCHOOL,SECONDARY                     ,2016-07-12,248,104,0.4194,,
2014-2015,DODGE-LOGAN VIEW ELEMENTARY,DODGE,270594009,LOGAN VIEW ELEMENTARY,ELEMENTARY                    ,K -06,281,100,0.3559,,
2014-2015,DODGE-NORTH BEND CENTRAL HIGH SCHOOL,DODGE,270595001,NORTH BEND CENTRAL HIGH SCHOOL,SECONDARY                     ,2016-08-12,222,72,0.3243,,
2014-2015,DODGE-NORTH BEND CENTRAL ELEMENTARY SCHOOL,DODGE,270595005,NORTH BEND CENTRAL ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,290,100,0.3448,,
2014-2015,DODGE-NORTH BEND CENTRAL MIDDLE SCHOOL,DODGE,270595008,NORTH BEND CENTRAL MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-07,101,39,0.3861,,
2014-2015,DODGE-ARCHBISHOP BERGAN HIGH SCH,DODGE,270701001,ARCHBISHOP BERGAN HIGH SCH,HIGH SCHOOL                   ,2016-09-12,116,,,MASKED DATA,
2014-2015,DODGE-ARCHBISHOP BERGAN MIDDLE SCH,DODGE,270701002,ARCHBISHOP BERGAN MIDDLE SCH,MIDDLE SCHOOL                 ,2016-07-08,54,,,MASKED DATA,
2014-2015,DODGE-TRINITY LUTHERAN ELE SCH WEST,DODGE,270702001,TRINITY LUTHERAN ELE SCH WEST,PREK ONLY                     ,PK-PK,37,,,MASKED DATA,
2014-2015,DODGE-TRINITY LUTHERAN ELEM SCH EAST,DODGE,270702002,TRINITY LUTHERAN ELEM SCH EAST,ELEMENTARY                    ,K -08,178,19,0.1067,,
2014-2015,DODGE-ST WENCESLAUS ELEM SCHOOL,DODGE,270704001,ST WENCESLAUS ELEM SCHOOL,ELEMENTARY                    ,PK-06,49,,,MASKED DATA,
2014-2015,DODGE-ARCHBISHOP BERGAN ELEMENTARY,DODGE,270706001,ARCHBISHOP BERGAN ELEMENTARY,ELEMENTARY                    ,K -06,200,38,0.19,,
2014-2015,DOUGLAS-BENSON MAGNET HIGH SCHOOL,DOUGLAS,280001001,BENSON MAGNET HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,1218,994,0.8161,,
2014-2015,DOUGLAS-BRYAN HIGH SCHOOL,DOUGLAS,280001003,BRYAN HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,1767,1430,0.8093,,
2014-2015,DOUGLAS-BURKE HIGH SCHOOL,DOUGLAS,280001005,BURKE HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,2144,993,0.4632,,
