SPILLNO-------,S,OWNCO--------------------,OWNSTREET-----------,OWNCITY-------------,OS,OZIP,TY,DIDATE----,SPLOC     -------------------------,SPCITY-------------------,SPCOUN-------------------,MATERIAL----------------------,SFM_ID--,FAC_NAME-----------------
09219-JHB-0920,2,GRANADA PRODUCTIONS,525 NORFOLK AVE,NORFOLK,NE,68701,14,9/20/89,110 S 5 ST,NORFOLK,MADISON,#2 FUEL OIL,8139,GRANADA THEATRE
11158-BTB-1100,2,GRAND ISLAND OIL,208 EAST 3RD ST,ALDA,NE,68810,7,11/15/88,724 W 3RD ST,GRAND ISLAND,HALL,GASOLINE,3815,GRAND ISLAND OIL CO
121295-GW-0800,2,GRANT OIL (FORMER),,,,,7,7/28/95,6720 RAILROAD AVE,OMAHA,DOUGLAS,PROBABLY GASOLINE & DIESEL,,GRAND OIL
111810-ML-0855,1,GRAY CARRIERS,PO BOX 75,HOSKINS,NE,68740,1,11/18/10,"HWY 275, 8 MI W OF NORFOLK",NORFOLK,MADISON,DIESEL FUEL,,"TRK ACCDT HWY 275, 8 MI W"
110211-JB-1500,1,GREENBRIER RAIL SERVICES,4901 S 28TH ST,OMAHA,NE,68107,2,11/2/11,"4901 S 28TH ST, REPAIR SHOP",OMAHA,DOUGLAS,DIESEL FUEL,,GREENBRIER RAIL SERVICES
071493-NM-1440,9,GREENWOOD FARMERS COOP,BOX 210,GREENWOOD,NE,68366,7,2/12/91,NE CORNER MANLEY LANE,MANLEY,CASS,GASOLINE,7158,GREENWOOD FARMERS COOP
020698-TH-0600,3,GRISWOLD SERVICE,5504 NW RADIAL,OMAHA,NE,68104,7,12/4/97,5504 NW RADIAL HWY,OMAHA,DOUGLAS,GASOLINE & WASTE OIL,2077,GRISWOLD SERVICE
113092-CT-1525,9,"GUERDON INDUSTRIES, INC.",P.O BOX 558,GERING,NE,69341,7,11/25/92,982 RUNDELL ROAD,GERING,SCOTTS BLUFF,GASOLINE,2799,GUERDON
012492-PH-0800,2,"GUERRA, ANAMARIA",,,,,7,1/24/92,5510 OLD CHENEY,LINCOLN,LANCASTER,GASOLINE,7670,ORPH TNK @ 56TH & HWY 2
102494-CT-0845,2,GULZOW MOTOR CO,223 E 2ND ST,GRAND ISLAND,NE,68801,7,9/23/94,223 E 2ND ST,GRAND ISLAND,HALL,GAS & WASTE OIL,7805,GULZOW MOTOR CO.
07188-BHI-0930,2,GUNN/HOWARD TIRES,PO BOX 93,PONCA,NE,68757,7,7/22/88,HOWARDS FIRESTONE TIRES,NEWCASTLE,DIXON,GASOLINE,6371,GUNN/ HOWARD TIRES
122198-CT-1520,3,H & N SERVICE,PO BOX 257,KENESAW,NE,68956,7,10/8/98,101 N SMITH AVE,KENESAW,ADAMS,"GASOLINE, DIESEL",3793,H & N SERVICE
102992-GY-1035,9,H A LITTLE,120 W FLORENCE,PIERCE,NE,68767,7,10/6/92,120 BROWN ST.,PIERCE,PIERCE,,7727,
051992-TH-1556,2,H&H TRANSMISSION,3300 N. 20TH,LINCOLN,NE,68521,7,4/8/92,3300 N. 20TH,LINCOLN,LANCASTER,WASTE OIL,7146,H & H TRANSMISSION
040896-NM-0700,2,HAISTON OIL,PO BOX 1576,FORT COLLINS,CO,80522,7,3/27/96,230 S CHESTNUT,KIMBALL,KIMBALL,"GASOLINE, DIESEL",6543,KIMBALL TEXACO STATION
080612-TH-0815,T,HAISTON OIL COMPANY,335 S SUMMITT VIEW D,FT COLLINS,CO,80524,6,2/28/12,410 W RAILWAY STREET,SCOTTSBLUFF,SCOTTS BLUFF,"FUEL OIL #1 AND 2, GASOLINE",,HAISTON BULK FUEL
061094-GW-1310,2,HANDI-STOP/HUTCHSON,PO BOX B,KANSAS CITY,KS,66103,7,8/20/93,309 S ELM ST,HASTINGS,ADAMS,GASOLINE & MOTOR OIL,3377,HANDI STOP
12219-KAM-1000,3,"HANQUIST, MILAND",1501 S 17 ST,LINCOLN,NE,68508,7,10/3/89,1505 S 17 ST,LINCOLN,LANCASTER,GASOLINE,4053,HANQUIST SERVICE
110491-NM-1006,T,HARLESS OIL,320 POLK,POLK,NE,68654,7,9/23/91,HWY 66 & OAK,POLK,POLK,GASOLINE,5980,HARLESS OIL CO/AMOCO
041996-TH-0909,9,HAROLD BOGUE,1911 MAIN ST,BELLEVUE,NE,68005,7,11/7/95,12709 S 28TH AVE,BELLEVUE,SARPY,GASOLINE,7144,CAPEHART CAR WASH
011096-CT-1400,2,HAROLD G WARP,1100 N CICERO AVE,CHICAGO,IL,60651,7,12/4/95,NW CRNR JCT HWY 34/6 & HWY 10,MINDEN,KEARNEY,GASOLINE AND WASTE OIL,2030,MINDEN RENTAL UNIT #57
061599-GW-1440,2,HARRY HURST,834 S HASTINGS,HASTINGS,NE,68901,7,6/15/99,634 BURLINGTON AVE,HASTINGS,ADAMS,"GASOLINE, WASTE OIL",5964,HARRY'S CONOCO SERVICE
020491-SM-1115,9,HARRY'S TRUCK STOP & CAFE,BOX 465,MINATARE,NE,69356,7,2/4/91,HWY 26 EASE,MINATARE,SCOTTS BLUFF,UNLEADED GASOLINE,5535,HARRYS TRUCK STOP
032802-QK-1635,9,HARRY'S TRUCK STOP & CAFE,BOX 465,MINATARE,NE,,6,3/28/02,1/2 EAST ON HWY 26,MINATARE,SCOTTS BLUFF,GASOLINE,,HARRY'S TRUCK STOP & CAFE
05070-MAL-0800,3,HARVARD OIL CO,301 NORTH ADAMS,HARVARD,NE,68944,7,4/3/90,301 NORTH ADAMS,HARVARD,CLAY,GASOLINE,6051,HARVARD OIL CO
120805-TH-0810,2,HASTINGS COLLEGE,712 TURNER AVE,HASTINGS,NE,68901,14,11/22/05,708 E 9TH ST (ELM AVE & 9TH ST,HASTINGS,ADAMS,FUEL OIL,10462,STEINHART HALL OF SCIENCE
10269-DWT-1030,9,HAVELOCK AMOCO,4401 N 70 ST,LINCOLN,NE,68507,7,10/26/89,4401 N 70 ST,LINCOLN,LANCASTER,GASOLINE,3125,HAVELOCK AMOCO
033199-GW-1100,T,HAVERTYS FARM & CITY,9611 EASTVIEW RD.,LINCOLN,NE,68505,7,3/29/99,521 S 11TH,NEBRASKA CITY,OTOE,GASOLINE,3820,HAVERTYS TEXACO
12189-DDB-0800,3,"HAYES FAMILY, INC.",CORP. DISSOLVED,NIXA,MO,,7,10/16/89,829 N NEMAHA(BOGLE'S AUT PRT),HUMBOLDT,RICHARDSON,GASOLINE& DIESEL,7852,"HAYES FAMILY, INC."
09218-DDB-1010,2,HEB-AR INC,8919 N 30 ST,OMAHA,NE,68134,7,9/21/88,8919 N 30 ST,OMAHA,DOUGLAS,GASOLINE,4368,FLORENCE CONOCO
062893-NM-0809,9,HECKMAN PROPERTY,,,,68110,7,7/5/92,BET 2ND & 3RD ON MAIN - N SIDE,HADAR,PIERCE,UNKNOWN,,HECKMAN DRINKING WELL
11288-BHI-1430,9,HEIST IMPLEMENT,112 E FILLMORE AVE,DEWITT,NE,68341,7,11/28/88,112 E FILLMORE AVE,DE WITT,SALINE,GASOLINE,4984,HEIST IMPLEMENT
022092-MF-1020,T,HENDERSON COMMUNITY COOP,BOX 546,HENDERSON,NE,68371,7,2/18/92,1101 14TH ST,HENDERSON,YORK,GASOLINE,2008,HENDERSON COMMUNITY COOP
050291-DH-0930,9,HENKEL OIL CO,123 22 DR,NORFOLK,NE,68701,7,5/2/91,2 MI W OF TOWN ON HWY 275,NORFOLK,MADISON,GASOLINE,3801,HENKEL OIL COMPANY
060397-CT-0800,T,HILLS BROS TRANSPORTATION,"7850 I"" ST""",OMAHA,NE,68127,7,4/18/97,"7850 I"" ST""",OMAHA,DOUGLAS,DIESEL,8455,HILLS BROS TRANSPORTATION
111597-TH-1354,3,HILLSIDE SERVICE CO,16404 HWY 75 S,BELLEVUE,NE,68123,13,8/28/91,16404 HWY 75 S,BELLEVUE,SARPY,GASOLINE,4706,HILLSIDE SERVICE STATION
061997-NM-0845,2,HITCHCOCK CNTY HIST SOC,BOX 511,TRENTON,NE,69044,7,5/18/95,124 E 1ST ST,TRENTON,HITCHCOCK,GASOLINE & KEROSENE,11338,HITCHCOCK CNTY HIST SOC
050393-CT-1115,9,HIWAY LIQUOR,435 SHELLTON ST,CHADRON,NE,69337,7,3/23/93,101 E HWY 20,GORDON,SHERIDAN,GASOLINE,1814,HIWAY LIQUOR
110498-TH-0800,T,HIX OIL CO,HC-91 BOX 53B,GORDON,NE,69343,7,9/8/98,116 W 2ND ST (2ND & OAK),GORDON,SHERIDAN,GASOLINE,7929,HIX OIL CO
05090-JHB-0700,9,"HOFF BROS., INC.",202 E. 2ND ST.,HASTINGS,NE,68901,7,4/27/90,HWY 93A & I-80 INTERCHANGE,HENDERSON,YORK,DIESEL,4101,UNCLE NEAL'S CONV. STORE
11080-NAH-1430,2,HOFFERBER,RR 1,FAIRMONT,NE,68354,14,8/9/90,RR 1,FAIRMONT,FILLMORE,GASOLINE,4144,HOFFERBER NORTH FARM
11080-NAH-1431,2,HOFFERBER,RT 1,FAIRMONT,NE,68354,7,8/9/90,3 M WEST & 2.5 M SOUTH,FAIRMONT,FILLMORE,GAS,4144,HOFFERBER SOUTH FARM
091294-CT-1110,9,HOLBROOK NON-STOCK COOP,BOX 99,HOLBROOK,NE,68948,7,9/12/94,HIGHWAY 6,HOLBROOK,FURNAS,GAS AND DIESEL,3165,HOLBROOK NON-STOCK COOP
021594-GW-1050,9,HOLDREDGE AIRPORT AUTHR,RR3 PO BOX 436,HOLDREGE,NE,68949,7,12/9/93,RR3 BOX 436;SO END OF AIRPORT,HOLDREGE,PHELPS,AVIATION GAS,3583,HOLDREGE AIRPRT FUEL FARM
12299-DDB-0940,9,HOLIDAY COMPANIES,P O BOX 1224,MINNEAPOLIS,MN,55440,7,12/21/89,2903 23RD AVENUE,COLUMBUS,PLATTE,UNLEADED GASOLINE,5664,HOLIDAY COMPANIES
051302-GW-0915,T,HOLIDAY COMPANY,4567 AMERICAN BLVD W,BLOOMINGTON,MN,55437,7,4/15/02,1404 W 2ND,GRAND ISLAND,HALL,"GASOLINE, DIESEL",5668,HOLIDAY COMPANY
101597-NM-1400,2,HOLLYWOOD AUTO SALES,5500 L ST,OMAHA,NE,68107,7,9/18/96,4546 S 13TH ST,OMAHA,DOUGLAS,USED OIL & ??,11549,HOLLYWOOD AUTO SALES
100798-TH-1301,T,HOLMES FREIGHT LINES INC,7878 I ST,OMAHA,NE,68127,7,8/20/98,7878 I ST,OMAHA,DOUGLAS,DIESEL,3957,"HOLMES FREIGHT LINES, INC"
073099-TH-0645,9,HOWES OIL CO,823 E 14TH,SIOUX FALLS,SD,57101,7,11/17/98,84610 N HWY 81 - E SIDE,HADAR,PIERCE,GASOLINE AND DIESEL,3697,PRIME STOP
030896-GW-1520,T,HUSKER CAB INC,1821 CORNHUSKER HWY,LINCOLN,NE,68521,7,3/8/96,1821 CORNHUSKER HWY,LINCOLN,LANCASTER,GASOLINE,8311,HUSKER CAB INC
061093-ML-1110,T,HUSKER COOP,BOX 1129,COLUMBUS,NE,68601,7,6/10/93,210 N STATE ST,OSCEOLA,POLK,GASOLINE & DIESEL,5447,HUSKER COOP SVC STATION
071505-SM-1725,9,HUSKER COOP,,,,,6,7/15/05,"BULK PLANT, S VINE ST",SILVER CREEK,MERRICK,DIESEL FUEL (RUBY RED),,SILVER CREEK BULK PLANT
071693-NM-0820,9,HYANNIS OIL,BOX 39,HYANNIS,NE,69350,7,3/25/91,E HWY 2,HYANNIS,GRANT,GASOLINE DIESEL,3447,HYANNIS OIL
100798-GW-1140,9,HYANNIS OIL,BOX 51,HYANNIS,NE,69350,7,10/6/98,HWY 2,HYANNIS,GRANT,"GASOLINE, DIESEL",7447,HYANNIS TEXACO STATION
040300-GW-0817,9,I-90 TRUCK HAVEN,PO BOX 1025,SIOUX FALLS,SD,57101,7,5/2/99,E HWY 275,NORFOLK,MADISON,"GASOLINE, DIESEL",3698,ROLL N WHEEL
040491-KM-1300,9,IBP ATV(AT THE VERTICALS),P.O. BOX 515,DAKOTA CITY,NE,68731,14,4/4/91,HWY 35,DAKOTA CITY,DAKOTA,#2 FUEL OIL,8714,IBP INC.
03189-BHI-1000,9,IBP INC,IBP INC-DAKOTA CITY,DAKOTA CITY,NE,68731,7,3/18/89,MAIN PLANT,DAKOTA CITY,DAKOTA,DIESEL FUEL,7702,IBP INC
07170-KAM-1500,9,IBP INC-TANK 109,IBP INC-DAKOTA CITY,DAKOTA CITY,NE,68731,7,6/22/89,TANK 109,DAKOTA CITY,DAKOTA,DIESEL,7702,IBP INC-TANK 109
01160-DWT-1300,2,IDEUS CONSTRUCTION CO,SEE NOTE,,,,7,11/28/89,404 HILL,LINCOLN,LANCASTER,DIESEL AND GAS,6899,DENNIS INC
081491-NH-1500,T,IMMANUEL MEDICAL CENTER,6901 N. 72ND,OMAHA,NE,68122,14,8/13/91,6901 N 72ND,OMAHA,DOUGLAS,UNK,8429,IMMANUEL MEDICAL CENTER
11289-JHB-1414,9,INDIANOLA OIL COMPANY,P.O. BOX 216,INDIANOLA,NE,69034,6,11/28/89,5TH AND C,INDIANOLA,RED WILLOW,GASOLINE,,INDIANOLA OIL COMPANY
121514-QK-1415,1,INTERNATIONAL PAPER CO,1111 FORT ST,OMAHA,NE,68110,7,12/12/14,1111 FORT ST,OMAHA,DOUGLAS,DIESEL,,
082708-NM-0912,1,INTERTECH PETROLEUM INC,5642 CENTER ST,OMAHA,NE,68106,7,8/26/08,5642 CENTER ST,OMAHA,DOUGLAS,GASOLINE,4076,INTERTECH PETROLEUM INC
091200-JB-1515,9,IVAN MANSKE - DECEASED,,,,,7,9/12/00,"300 MADISON ST, NW CRNR 3RD &",NORFOLK,MADISON,"GASOLINE, DIESEL, PETROLEUM",1712,FORMER MANSKE SERVICE STA
072195-KM-0900,3,J & D STANDARD,226 FREMONT,CRAWFORD,NE,69339,7,7/20/95,HWY 71 & 20,CRAWFORD,DAWES,GASOLINE & DIESEL,1766,J & D STANDARD
090203-NM-0845,9,J & L CONOCO SERVICE,1914 K ST,TEKAMAH,NE,68061,7,8/26/03,"504 S 13TH, 13TH & I STS",TEKAMAH,BURT,GASOLINE,3534,J & L CONOCO SERVICE
042398-JB-0735,2,J MART,501 WEST A ST,LINCOLN,NE,68522,7,4/15/98,501 WEST A ST,LINCOLN,LANCASTER,GASOLINE,8011,J MART
10260-MRF-1445,3,JACK KEEF MOTORS,HWY 33 & 103,CRETE,NE,68333,7,7/19/90,HWY 33 & 103,CRETE,SALINE,"WASTE OIL, GASOLINE & DIESEL",80,JACK KEEF MOTORS INC
083194-GY-1640,T,JACKS MARKET,314 OMAHA AVE,NORFOLK,NE,68701,7,9/30/94,314 OMAHA AVE,NORFOLK,MADISON,GASOLINE & DIESEL,2899,JACKS MARKET
12189-KAM-0800,9,JACKSON AUTO SERVICE,WEST HWY 6 AND 34,AXTELL,NE,68924,7,12/5/89,WEST HWY 6 AND 34,AXTELL,KEARNEY,GASOLINE,1385,JACKSON AUTO SVC STATION
101912-KM-1513,T,JACKSON EXPRESS,400 W ELK ST,JACKSON,NE,68743,7,10/19/12,400 W ELK ST,JACKSON,DAKOTA,GASOLINE,12030,JACKSON AMPRIDE
04087-WCS-1000,9,JAMES H KINLEY CO,7301 COMMERCIAL BLVD,ARLINGTON,TX,76001,6,4/8/87,HARLAN DRIVE AND 35 ST,BELLEVUE,SARPY,JP 4 JET FUEL,,FORMER KINLEY PIPELINE
042491-EP-1400,9,JIMS SERVICE,201 MAIN ST,EMERSON,NE,68737,7,5/24/91,201 MAIN ST,EMERSON,DAKOTA,GASOLINE,6211,JIMS SERVICE
010801-NM-0900,3,JOAN TIBBETTS,PO BOX 133,GOEHNER,NE,68364,14,1/7/01,248 SAINT JOHNS,GOEHNER,SEWARD,HEATING OIL,9720,JOAN TIBBETTS RESIDENCE
032291-NH-1430,9,JOE CLARK,RR 1 BOX 161,CENTRAL CITY,NE,68826,7,10/4/91,1414 16TH ST,CENTRAL CITY,MERRICK,GAS OR DIESEL,7249,"JIM, INC."
082696-KM-1305,2,JOE DARLING,1617 J ST,AUBURN,NE,68305,7,8/26/96,3200 NORTH 19TH,LINCOLN,LANCASTER,PETROLEUM OF SOME KIND,11523,CORNHUSKER WINNELSON
11150-NAH-0830,2,JOES SINCLAIR SERVICE,HIGHWAY 92,RISING CITY,NE,68658,7,10/13/90,HIGHWAY 92,RISING CITY,BUTLER,GAS & DIESEL,3706,JOES SINCLAIR SERVICE
081693-CT-1105,2,JOHN KRAFT CHEVROLET,8505 CROWN POINT,OMAHA,NE,68134,7,5/14/93,8505 CROWN POINT,OMAHA,DOUGLAS,"NEW OIL, WASTE OIL, TRANS FLU",17,JOHN KRAFT CHEVROLET
AP3790,9,JOHN R BURKLAND,100 NORTHRIDGE,CLAY CENTER,NE,68933,7,10/17/97,305 N CENTER ST,CLAY CENTER,CLAY,GASOLINE & DIESEL,3790,CLAY CENTER SERVICE
07217-BHI-1330,3,JOHNSON APCO INC,SEE NOTE,,,,7,7/21/87,1301 WEST O ST,LINCOLN,LANCASTER,GASOLINE,1762,JOHNSON APCO
091197-NM-1110,9,JOHNSON CHRYSLER PLYMOUTH,,,,,7,7/29/94,220 MAIN ST,STROMSBURG,POLK,GASOLINE,5730,JOHNSON CHRYSLER PLYMOUTH
04165-MBS-1423,9,JOHNSON OIL CO,300 MAIN ST,LYONS,NE,68038,6,12/15/84,300 MAIN ST,LYONS,BURT,REGULAR GASOLINE,2159,JOHNSON OIL COMPANY
09074-TSK-1455,,JOHNSTON'S FUEL LINERS',P O BOX 100,NEW CASTLE,WY,82701,9,,GETTY BULK PLANT,CHAPPELL,DEUEL,#2 DIESEL,,
06278-BHI-1000,9,JONES PETROLEUM CO.,1000 N 148TH ST,LINCOLN,NE,68507,7,1/1/81,HWY 30 & LINCOLN STREET,LEXINGTON,DAWSON,GASOLINE,1127,JONES PETROLEUM - LEXO
010899-CT-1530,T,JUMPING EAGLE INN,PO BOX 21,BUFFALO GAP,SD,57722,7,12/14/98,MAIN ST & HWY 87,WHITECLAY,SHERIDAN,GASOLINE,5938,JUMPING EAGLE INN
100402-TH-0940,3,JUMPS FOOD BARN,,,,,7,8/5/02,MISSOURI & YELLOWSMOKE STS,MACY,,,8103,JUMPS FOOD BARN
102992-GY-1045,9,JURZENSKI'S SERVICES,1026 PEARL STREET,ELBA,NE,68835,7,1/26/90,NE CRNR HWY 11 & PEARL ST,ELBA,HOWARD,GASOLINE,2356,JURZENSKIS SERVICE
032091-SM-1410,9,"K & B TRANSPORTATION, INC",P.O. BOX 1445,SIOUX CITY,IA,51102,6,3/20/91,935 WEST 25TH STREET,SOUTH SIOUX CITY,DAKOTA,DIESEL FUEL,,"K & B TRANSPORTATION, INC"
071693-NM-1005,2,K MART CORPORATION,23008 W HIGGINS RD,HOFFMAN ESTATES,IL,60195,7,,5000 L STREET,OMAHA,DOUGLAS,WASTE OIL,436,BIG K-MART 4130
021292-CT-1015,2,K W SERVICE,PO BOX 384,GOEHNER,NE,68456,7,2/12/92,MAIN ST,GOEHNER,SEWARD,GASOLINE WASTE OIL,4630,K W SERVICE
101603-TH-0930,T,KABREDLOS,2601 WEST A ST #A,LINCOLN,NE,68522,7,6/3/03,600 W A ST,LINCOLN,LANCASTER,DIESEL,4249,KABREDLOS 116
122204-TH-1500,T,KABREDLOS,2601 WEST L ST,LINCOLN,NE,68522,7,10/20/04,900 SOUTH STREET,LINCOLN,LANCASTER,GASOLINE,3643,KABREDLOS 105
041610-SM-1411,T,KAGA INC,401 PHEASANT DR,AURORA,NE,68818,13,4/16/10,909 S HWY 14,AURORA,HAMILTON,"GASOLINE, DIESEL",4494,KAGA INC
040695-KM-1100,T,KANEB PIPELINE CO,NORTH HIGHWAY 81,GENEVA,NE,68361,6,4/6/95,NORTH HIGHWAY 81,GENEVA,FILLMORE,PETROLEUM,,NUSTAR LOGISTICS LP
061302-PH-1200,9,KANEB PIPELINE CO,7340 21ST ST NORTH,WICHITA,KS,67205,6,6/13/02,SUPERIOR BULK PLANT,SUPERIOR,NUCKOLLS,GASOLINE,_____,KANEB PIPELINE
080995-ML-1930,9,KANEB PIPELINE CO,100 N. BROADWAY,WICHITA,KS,67202,6,8/9/95,SUPERIOR FACILITY,SUPERIOR,NUCKOLLS,DIESEL,,SUPERIOR TERMINAL
04217-DBH-1340,2,KASTER RESIDENCE,,,,,7,,,TECUMSEH,JOHNSON,,,KASTER RESIDENCE
051310-SM-0905,9,KATTI'S AUTO SALES,101 N MAIN ST,MADISON,NE,68748,6,5/13/10,ALLEY N OF 101 N MAIN ST,MADISON,MADISON,USED OIL,,KATTIS AUTO SALES
092414-NM-1826,T,KAYTON INTERNATIONAL INC,PO BOX 308,ALBION,NE,68620,7,1/16/14,3001 S 13TH ST,NORFOLK,MADISON,USED OIL,7899,KAYTON INTERNATIONAL INC
071693-NM-0725,2,KEEBLER CO,1 HOLLOW TREE LAND,ELMHURST,IL,60126,7,10/9/90,4421 S 76TH ST,OMAHA,DOUGLAS,GASOLINE,4311,KEEBLER COMPANY
12089-KSA-0830,9,KEN & ALS SERVICE INC,P O BOX 68 HWY 4,LAWRENCE,NE,68957,7,9/6/89,HWY 4 & CALVERT,LAWRENCE,NUCKOLLS,GAS AND OTHER,5436,KEN & ALS SERVICE
061798-KM-1538,2,KEN'S SALES & SERVICE,7203 HARRISON ST,LA VISTA,NE,68128,7,6/17/98,7203 HARRISON ST,LA VISTA,SARPY,GASOLINE,2699,KEN'S SALES & SERVICE
06199-JHB-1340,9,KENSINGER SERVICE,1614 COVENTRY LANE,GRAND ISLAND,NE,68801,7,6/19/89,1810 E HWY 30,GRAND ISLAND,HALL,GASOLINE & DIESEL,6629,KENSINGER SERVICE
060600-GW-1028,3,KERSHNERS AUTO KORNER,1021 N ST JOSEPH ST,HASTINGS,NE,68901,7,7/16/99,220 W SOUTH ST,HASTINGS,ADAMS,"GAS, DIESEL, WASTE OIL",5657,KERSHNERS AUTO KORNER
063093-CT-1445,T,KERSTEN AUTO CO,105 W MAIN,BLOOMFIELD,NE,68715,7,6/18/93,105 W MAIN,BLOOMFIELD,KNOX,DIESEL & KEROSENE,7111,KERSTEN AUTO CO
101805-KM-1629,9,KERSTEN SERVICE TANK SITE,,,,,7,10/18/05,111 1/2 FRONT ST,BEEMER,CUMING,"GASOLINE, HEATING OIL",3444,KERSTEN SERVICE TANK SITE
122298-CT-1540,9,KERSTEN SERVICE TANK SITE,PO BOX 184,BEEMER,NE,68716,7,11/16/98,111 1/2 FRONT STREET,BEEMER,CUMING,GASOLINE,3444,KERSTEN SERVICES
030492-CT-0304,2,KEYA PAHA COOP,PO BOX 97,SPRINGVIEW,NE,68778,7,7/17/91,CITY ROUTE 183,SPRINGVIEW,KEYA PAHA,DIESEL,4985,SERVICE STATION
070893-CT-0715,2,KEYSER AND KEYSER,2410 FREMONT AVE S,MINNEAPOLIS,MN,55405,7,6/29/93,HWY 20 AND MAIN ST,RUSHVILLE,SHERIDAN,GASOLINE AND DIESEL,6194,D & R OIL COMPANY
010897-GW-1120,T,KNIEVEL INC,RT 1 BOX 71,EWING,NE,68735,6,1/7/97,10 MI S EWING HWY 45B,EWING,HOLT,PETROLEUM & SOLVENT,,KNIEVEL INC
040596-NM-0925,2,KOBORG DIAGNOSTIC CENTER,2821 S 108TH ST,OMAHA,NE,68144,7,3/1/93,2821 S 108TH ST,OMAHA,DOUGLAS,GASOLINE DIESEL,6218,KOBORG DIAGNOSTIC CENTER
070297-GW-1535,2,KOCH AGRI SERVICES,PO BOX 2256,WICHITA,KS,67201,7,6/11/97,"1705 G"" ST""",FRANKLIN,FRANKLIN,DIESEL,1743,VAL-CO
020591-DT-1425,9,KOCH MATERIAL CO,PO BOX 629,HENDERSON,NE,68371,6,12/25/90,1 1/2 S OF I-80 HENDERSON RD,HENDERSON,YORK,#2 DIESEL,1345,ASPHALT EMULSION PLANT
052311-SM-1201,1,KOCH NITROGEN,21178 SW 89TH RD,BEATRICE,NE,68310,9,5/23/11,21178 SW 89TH ST,BEATRICE,GAGE,LUBRICATING OIL,,KOCH NITROGEN
01138-BHI-0830,9,KOCHS KORNER,OLD HIGHWAY 281,DONIPHAN,NB,,7,1/11/88,NEXTDOOR TO KOCH'S,DONIPHAN,HALL,FUMES,,KOCHS KORNER
09297-BHI-1300,9,KONECKY OIL,RR 1,MEAD,NE,68041,7,3/25/87,MEAD,MEAD,SAUNDERS,GASOLINE,3955,KONECKY OIL
111901-GW-0837,3,KOTAS OIL,606 P ST,MILLIGAN,NE,68406,6,7/24/01,"160 FT NW INT MAIN & N, W SIDE",MILLIGAN,FILLMORE,GASOLINE AND DIESEL,,KOTAS OIL CO
092493-NM-1059,2,KRAMER FORD GARAGE,MAIN ST AND THAYER S,SPENCER,NE,,14,6/5/92,MAIN ST & THAYER ST,SPENCER,BOYD,GASOLINE,8498,KRAMER FORD GARAGE
060502-QK-1221,9,KRAUSE GENTLE CO,6400 W TOWN PARKWAY,WEST DES MOINES,IA,50266,7,6/4/02,1124 N BROADWELL,GRAND ISLAND,HALL,GASOLINE,7753,KUM & GO #339
110399-QK-1115,T,KRAUSE GENTLE CO,6400 WESTOWN PKY 220,WEST DES MOINES,IA,50266,7,11/3/99,4335 N 70TH ST (HAVELOCK SW CR,LINCOLN,LANCASTER,GASOLINE,467,KUM & GO #341
100391-TH-0853,T,KROEGER PRECAST INC,13800 GILES RD,PAPILLION,NE,68130,7,9/13/91,13800 GILES RD,PAPILLION,SARPY,GASOLINE,7139,KROEGER PRECAST INC
062600-JF-1430,T,KUM & GO,4201 WESTOWN PK #220,WEST DES MOINES,IA,50266,7,6/26/00,"619 N MAIN, SE CRNR HWY 15/35",WAYNE,WAYNE,GASOLINE,2758,KUM AND GO #360
063008-TH-1125,T,KUM & GO,6400 WESTOWN PKWY,WEST DES MOINES,IA,50266,7,4/1/08,4207 HARRISON,BELLEVUE,SARPY,GASOLINE,7230,KUM & GO
121112-MP-1045,T,KUM & GO,6400 WESTOWN PKWY,WEST DES MOINES,IA,50266,7,12/11/12,6606 BLONDO ST,OMAHA,DOUGLAS,GASOLINE,459,KUM & GO #363
030191-DB-1030,9,KUXHAUS HUSKY,1017 EAST OVERLAND,SCOTTSBLUFF,NE,69361,7,3/1/91,1017 EAST OVERLAND ST.,SCOTTSBLUFF,SCOTTS BLUFF,GASOLINE,5874,KUXHAUS SERVICE
011403-GW-1555,T,KWIK STOP,PO BOX 1665,NORTH PLATTE,NE,69103,7,12/1/02,120 S JEFFERS,NORTH PLATTE,LINCOLN,,7658,KWIK STOP #1
102705-TH-1131,T,KWIK STOP,PO BOX 1927,HUTCHINSON,KS,67504,7,10/27/05,4151 HARRISON,BELLEVUE,SARPY,GASOLINE,694,KWIK SHOP 689
110998-TH-0725,T,KWIK STOP,PO BOX 1665,NORTH PLATTE,NE,69103,7,11/20/02,702 E 4TH ST,NORTH PLATTE,LINCOLN,GASOLINE,3086,KWIK STOP #5
122210-JB-1055,9,KWIK STOP,,,,,7,12/22/10,702 E 4TH ST,NORTH PLATTE,LINCOLN,GASOLINE,,KWIK STOP #5
032593-CT-1430,3,LAMMERS OIL CO,201 EAST MAIN,HARTINGTON,NE,68739,7,1/11/93,201 EAST MAIN,HARTINGTON,CEDAR,GASOLINE AND DIESEL,2182,LAMMERS OIL CO
032802-GW-1550,T,LANCASTER COUNTY ENGINEER,444 CHERRY CRK RD,LINCOLN,NE,68528,7,3/28/02,"5TH & PACIFIC & RAYMOND RD, SW",RAYMOND,LANCASTER,GASOLINE & DIESEL,7299,RAYMOND PATROL STATION
